,x,y,img
0,-3.0502632,-4.2467456,CH-1995-1
1,0.517178,0.26101142,CH-1995-3
2,-1.5962608,-1.7376711,E-1995-4
3,-2.2302673,-2.8273566,E-1995-7
4,-2.2302687,-2.8273566,E-1995-19
5,-1.6179893,-2.3601837,E-1995-23
6,-2.2302697,-2.8273559,E-1995-34
7,-2.241097,-2.824543,I-1995-2
8,-1.6229485,-2.3590043,I-1995-12
9,-2.2317426,-2.8286128,I-1995-19
10,-1.6176816,-2.3599799,E-1996-7
11,-2.0085335,-2.216633,E-1996-9
12,-2.0540242,-2.2239437,Blue Poster_1997
13,-2.303767,-2.3955128,Connection_1997
14,-2.3014822,-2.3949752,Decor_1997
15,-2.0879467,-2.235707,Doll's House_1997
16,-2.0307503,-2.2204297,Eve_1997
17,-1.6230804,-2.3583283,Glass_1997
18,-2.3023162,-2.3870618,Green Wall_1997
19,-2.245023,-2.8233411,NL-1997-1_1997
20,-1.6186475,-2.3599572,Pit_1997
21,-2.0717292,-2.2282948,Soil_1997
22,-1.6232023,-2.3567686,Wood_1997
23,-2.2326932,-2.8292289,Contour_1997
24,-1.4608132,-3.4170985,13 Aeroplanes_1998
25,-1.1562567,-3.1697671,A Moon_1998(missing)
26,-1.4618108,-3.4175723,Bay Area_1998
27,-1.1587021,-3.1738331,Constellation_1998
28,-1.4626212,-3.4178376,Double Mist_1998
29,-1.4610505,-3.4176633,H2O_1998
30,-1.464669,-3.419049,High Pool_1998
31,-1.4621843,-3.4176407,Landscape_1998
32,-1.1579486,-3.1723862,Long Beach_1998
33,-1.1559241,-3.1695054,Meander_1998
34,-1.1568766,-3.170856,Neon_1998
35,-1.4624794,-3.4173737,Suburb_1998
36,-1.1594242,-3.174471,Transit_1998
37,-1.1574556,-3.1723506,Water_1998
38,-1.6213233,-2.3633099,Apartment_1999
39,-1.6185457,-2.3613825,3 Piano_1999
40,-1.6180528,-2.3607478,Avenue_1999
41,-2.2318048,-2.827147,Block_1999
42,-2.3078215,-2.399566,Circuit_1999
43,-2.23082,-2.8278997,Corridor_1999
44,-2.3119256,-2.4062052,Interval_1999
45,-1.6178921,-2.3607972,Set_1999
46,-2.2316704,-2.8331764,Transfer_1999
47,-0.5186871,-1.0402325,Descent_2000
48,-1.9676485,0.88529146,Balance_2000
49,-2.107063,-1.0438414,Complex_2000
50,-3.3754358,0.550917,Court_2000
51,-2.706452,0.7301518,Facade_2000
52,0.64561397,0.3330749,Flow_2000
53,-2.4371567,-0.4584039,Home_2000
54,0.46419674,0.97042584,Neighbourhood_2000
55,-3.9862773,-2.1717336,Spot_2000
56,-1.57898,5.0017686,Capital_2000
57,2.8641593,-0.7532458,Parallel_2000
58,-0.2998797,-1.1622272,Exit_2001
59,-2.842094,-4.60614,Ground_2001
60,0.46497178,-2.1860697,Passing_2001
61,0.9622644,-2.3784022,Setting_2001
62,-2.3272672,-4.303566,Still_2001
63,-2.0170298,4.971728,Building_2001
64,-1.2802196,2.056045,Expo_2001
65,-2.6098545,0.03247962,Flux_2001
66,-2.050359,0.6780128,Intersection_2001
67,-0.990415,-0.44003117,Two Sixty Four_2001
68,-3.7958357,-2.2530687,Domicile_2002
69,0.98331577,2.1457262,Park _2002
70,1.3511943,2.2698793,Gate_2002
71,-0.040886316,2.7736244,Mezzanine_2002
72,0.23568584,0.9798693,Quarter_2002
73,1.5315101,-1.0349348,Terrace_2002
74,0.54285073,1.6779166,Tube_2002
75,3.5938854,-2.611877,Intermezzo_2003
76,-0.21386819,2.4383802,Info_2003
77,0.8170351,0.7565523,Tour_2003
78,0.5124129,2.1660247,Midi_2003
79,0.7445281,2.0262866,Lille_2003
80,1.0004689,1.6643882,Metro_2003
81,1.0387269,1.7115691,Etage_2003
82,-1.6982535,4.5853095,Platform_2003
83,-3.6810265,-0.39552584,Habitat_2003
84,-2.078614,2.500352,Annex_2003
85,-1.6362188,-0.46671852,Column_2003
86,-5.7244525,-1.8575135,Crop_2003
87,-3.1816525,0.26310748,Focus_2003
88,2.8994176,-0.9529421,Grid_2003
89,3.5928404,-2.6072428,Lobby_2003
90,4.0307612,0.43681616,Model_2003
91,0.13760321,5.4967237,Plateau_2003
92,-1.9281136,2.9372547,Prospect_2004
93,-1.986481,2.994269,Nexus_2004
94,-2.389305,2.339759,Level_2004
95,-0.72706896,1.6626292,Gazette_2004
96,1.3641095,2.7166097,Plan_2004
97,-2.0787637,0.94945824,Frame_2004
98,-2.136929,1.0158136,Section_2004
99,-2.0087101,2.883192,Facet_2004
100,-0.40850255,1.411235,Class_2004
101,2.928522,-0.05501805,Panorama_2004
102,1.9962455,-0.07645448,Sequence_2004
103,4.0582275,0.7285146,Palace_2004
104,2.020512,2.6145697,Link_2004
105,2.811442,-0.10126808,Gallery_2004
106,2.3746953,-0.4985316,Front_2004
107,2.819205,-0.25712535,Canvas_2004
108,-5.822224,4.179707,Match_2004
109,-1.4088751,-5.108571,Scene_2004
110,1.7898704,-0.5307885,Module_2004
111,0.51820946,-1.3289033,Zone_2004
112,1.8150543,1.592984,Loop_2005
113,-1.847876,5.55266,Enterprise_2005
114,1.3390942,4.0869,Display_2005
115,1.7562774,-3.2553089,Enclave_2005
116,-2.5085952,4.3142314,Domain_2005
117,-2.704678,2.0137181,Room_2005
118,-2.9232154,2.0364375,Core_2005
119,-2.9089248,1.5012381,Palette_2005
120,-1.285353,2.11662,Queue_2005
121,-0.32479772,-1.320499,Unit_2005
122,-5.614675,1.8358377,Reservoir_2005
123,-3.8623154,1.3198802,Image_2005
124,3.5314765,1.1183474,Regime_2005
125,-4.987467,-0.41773805,Border_2005
126,-4.3470945,0.51990366,Storey_2005
127,-3.638701,-1.0372881,Circle_2006
128,-3.542692,-0.7943309,Memo_2006
129,-3.367844,-1.3100291,Contact_2006
130,-2.6585917,0.05277838,Collage_2006
131,-3.1005886,-0.5217122,Filter_2006
132,-0.24068053,0.7795844,Corner_2006
133,-4.694952,2.0676746,Bloom_2006
134,0.004570213,-3.1113322,Fringe_2006
135,-0.9318436,0.3819826,Array_2006
136,2.0166712,2.99113,Cycle_2006
137,-2.1490672,4.2784686,Interlude_2006
138,3.6164281,0.880813,Studio_2006
139,-1.0072802,5.471271,Arcade_2006
140,-3.431932,5.075109,Mirage_2006
141,-3.6387007,-1.0372884,Sector_2006
142,-2.977768,-0.7116888,Entrance_2006
143,1.16602,1.8485456,Square_2006
144,-4.14532,-1.0809919,Screen_2006
145,-0.0031056255,-2.3360186,Network_2006
146,-2.9617512,-1.5200421,Presence_2006
147,-1.0892965,2.5133474,Exposure_2007
148,-4.162537,-0.691006,Base_2007
149,-1.1555508,1.2597669,Center_2007
150,0.39795023,-0.5119025,Access_2007
151,-0.289192,-1.3590134,Aperture_2007
152,-5.6178675,0.29445127,Detail_2007
153,-2.0031526,5.9273643,Dynasty_2007
154,-1.1465878,-0.61061275,Living_2007
155,-1.7419739,-4.8115582,Passage_2007
156,-5.0845537,1.5777979,Bouquet_2008
157,-3.0221758,2.1363487,Forum_2008
158,-3.6474288,-3.035302,House_2008
159,-5.3333855,-1.6313622,Territory_2008
160,-0.9366354,0.7064493,Labyrinth_2008
161,1.2845515,0.5250096,Cluster_2008
162,0.7329906,-0.5488407,Atmosphere_2008
163,-5.891622,-1.42901,Volume_2008
164,-0.89395833,0.83367467,Support_2008
165,0.7257593,-0.3069741,Junction_2008
166,-4.0891156,0.74016684,Spectrum_2008
167,-3.2986062,-3.5940967,Replica_2008
168,-5.490747,2.58325,Control_2008
169,-3.5737374,3.2456613,Nature_2008
170,-1.79759,4.147,Project_2008
171,-0.32804224,4.5569673,Property_2008
172,-5.224978,1.9750078,Summit_2008
173,1.7098945,1.2086918,Transition_2008
174,0.33468628,5.2846193,Site_2008
175,2.1832657,3.4677875,Matrix_2008
176,-4.1903114,4.5908747,Monitor_2008(missing)
177,-3.5896192,4.9016275,Flood_2009
178,-1.7910521,-0.52901584,Picture a Mirror_2009
179,2.1230593,3.691341,Matter_2009
180,-6.390342,1.622753,Play_2009
181,-5.8582993,4.1790876,Race_2009
182,-0.89542216,5.7309146,Condominium_2010
183,-5.251015,2.3099446,The English House_2010
184,-6.3720737,1.6821122,Green Zone_2010
185,2.5047803,0.5732779,SuperVision_2010
186,2.3330455,4.5894885,China Halo_2010
